web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,item_page_title,item_page_link,Rate,Seller_Name,Seller_Rating,Available_Colors,Product_SKU,Product_Description,product title,original price,discount,final price,image_1,image_3,Spec,comment count,rezayat
"1771406630-132","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-133","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-134","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-135","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-136","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-137","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-138","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-139","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-140","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-141","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-142","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-143","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-144","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-145","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-146","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-147","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-148","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-149","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-150","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-151","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-152","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-153","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-154","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-155","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-156","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771406630-157","https://www.digikala.com/search/category-digital-camera/?has_selling_stock=1","","","","","","","","","","","","","","","","","","","","","","","","",""
