web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,rate,Number_of_Comments,Seller_Performance_1,title_1,final price,Seller_Rating,image_3,image_7,variants,specs1,descriptiom,specs 2,bramd
"1771408498-208","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-209","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-210","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-211","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-212","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-213","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-214","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-215","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-216","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-217","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-218","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-219","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-220","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-221","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-222","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-223","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-224","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-225","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-226","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-227","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-228","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
"1771408498-229","https://www.digikala.com/search/category-wearable-gadget/","","","","","","","","","","","","","","","","","","","","","","","",""
