web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,data6,image,image2,item_page_title,item_page_link,RATE,Seller_Name,Seller_Performance,Product_Description,image_1,image_2,COMMENT COUNT,Price,Product Title,Specs 1,Specs 2,Category,Sub Category,Sub Cat 2
"1771405931-225","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-226","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-227","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-228","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-229","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-230","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-231","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-232","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-233","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-234","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-235","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-236","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-237","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-238","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-239","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-240","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-241","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-242","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-243","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-244","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-245","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-246","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-247","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771405931-248","https://www.digikala.com/search/category-headphone/","","","","","","","","","","","","","","","","","","","","","","","","",""
